	ARUA	BOMBO	BUKALASA	BUTIABA	DWOLI	ENTEBBE AIR	FT PORTAL	GONDOKORO	GULU	HOIMA	JINJA	KABALE	KAMPALA	KAMULI	KASESE	KITGUM	KOLOLO HILLS, KAMPALA	LIRA	MASAKA	MASINDI	MBALE	MBARARA	MOROTO	MOYO	MUBENDE	NAGICHOT	NIMULE	SERERE	SIMSA	SOROTI	TORORO	WADELIA
1905.46	-99.00	-99.00	-99.00	-99.00	-99.00	21.56	-99.00	27.00	-99.00	-99.00	23.67	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.17	-99.00	-99.00	20.97	-99.00	-99.00	-99.00	-99.00	25.33	-99.00	-99.00	-99.00	-99.00	29.22
1905.54	-99.00	-99.00	-99.00	-99.00	-99.00	20.44	-99.00	25.31	-99.00	-99.00	23.25	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.83	-99.00	-99.00	21.22	-99.00	-99.00	-99.00	-99.00	24.19	-99.00	-99.00	-99.00	-99.00	26.14
1905.62	-99.00	-99.00	-99.00	-99.00	-99.00	20.47	-99.00	25.44	-99.00	-99.00	21.56	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.64	-99.00	-99.00	21.58	-99.00	-99.00	-99.00	-99.00	23.36	-99.00	-99.00	-99.00	-99.00	29.11
1905.71	-99.00	-99.00	-99.00	-99.00	-99.00	21.64	-99.00	25.44	-99.00	-99.00	22.72	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.75	-99.00	-99.00	21.31	-99.00	-99.00	-99.00	-99.00	23.19	-99.00	-99.00	-99.00	-99.00	29.06
1905.79	-99.00	-99.00	-99.00	-99.00	-99.00	21.47	18.56	26.28	-99.00	-99.00	22.69	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.64	-99.00	-99.00	20.81	-99.00	-99.00	-99.00	-99.00	25.83	-99.00	-99.00	-99.00	-99.00	26.08
1905.87	-99.00	-99.00	-99.00	-99.00	-99.00	21.14	18.72	26.61	-99.00	-99.00	22.47	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.00	-99.00	-99.00	21.31	-99.00	-99.00	-99.00	-99.00	27.03	-99.00	-99.00	-99.00	-99.00	25.61
1905.96	-99.00	-99.00	-99.00	-99.00	-99.00	21.17	18.25	26.11	-99.00	-99.00	22.64	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	19.50	-99.00	-99.00	21.28	-99.00	-99.00	-99.00	-99.00	26.53	-99.00	-99.00	-99.00	-99.00	28.39
1906.04	-99.00	-99.00	-99.00	-99.00	-99.00	22.22	20.92	27.28	-99.00	-99.00	23.25	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	21.92	-99.00	-99.00	21.31	-99.00	-99.00	-99.00	-99.00	27.06	-99.00	-99.00	-99.00	-99.00	26.06
1906.12	-99.00	-99.00	-99.00	-99.00	-99.00	21.56	21.53	27.81	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	20.39	-99.00	-99.00	21.86	-99.00	-99.00	-99.00	-99.00	28.61	-99.00	-99.00	-99.00	-99.00	22.97
1906.21	-99.00	-99.00	-99.00	-99.00	-99.00	21.69	21.78	27.67	-99.00	-99.00	22.25	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	21.53	-99.00	-99.00	19.75	-99.00	-99.00	-99.00	-99.00	27.97	-99.00	-99.00	-99.00	-99.00	26.86
