id	modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	eventDate	fieldNumber	continent	countryCode	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
OBSNEV:SINFONEVADA:SINFON-10-006130-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-006130-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Quercus ilex L. subsp. ballota	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	ilex	ballota	
OBSNEV:SINFONEVADA:SINFON-10-007061-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-007061-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Halimium umbellatum Spach subsp. viscosum (Willk.) O.Bolòs & Vigo	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Cistaceae	Halimium	umbellatum	viscosum	(Willk.) O.Bolòs & Vigo
OBSNEV:SINFONEVADA:SINFON-10-007165-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-007165-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Fumana thymifolia Spach	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Cistaceae	Fumana	thymifolia		Spach
OBSNEV:SINFONEVADA:SINFON-10-007903-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-007903-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Dorycnium pentaphyllum Scop.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Dorycnium	pentaphyllum		Scop.
OBSNEV:SINFONEVADA:SINFON-10-008106-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-008106-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Medicago sativa L.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	sativa		L.
OBSNEV:SINFONEVADA:SINFON-10-008281-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-008281-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Ulex parviflorus Pourr.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	parviflorus		Pourr.
OBSNEV:SINFONEVADA:SINFON-10-008914-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-008914-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Eryngium campestre L.	Plantae	Magnoliophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	campestre		L.
OBSNEV:SINFONEVADA:SINFON-10-009502-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-009502-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Phlomis crinita Cav.	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Lamiaceae	Phlomis	crinita		Cav.
OBSNEV:SINFONEVADA:SINFON-10-009644-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-009644-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Thymus serpylloides Bory subsp. gadorensis (Pau) Jalas	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Lamiaceae	Thymus	serpylloides	gadorensis	(Pau) Jalas
OBSNEV:SINFONEVADA:SINFON-10-009727-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-009727-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Teucrium compactum Clem. ex Lag.	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Lamiaceae	Teucrium	compactum		Clem. ex Lag.
OBSNEV:SINFONEVADA:SINFON-10-010558-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-010558-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Helichrysum italicum (Roth) G.Don var. serotinum (Boiss.) O.Bolòs & Vigo	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	italicum	serotinum	(Boiss.) O.Bolòs & Vigo
OBSNEV:SINFONEVADA:SINFON-10-010710-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-010710-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Artemisia campestris Ledeb. var. glutinosa (J.Gay ex Besser) Y.R.Ling	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	campestris	glutinosa	(J.Gay ex Besser) Y.R.Ling
OBSNEV:SINFONEVADA:SINFON-10-011069-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-011069-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Ptilostemon hispanicus (Lam.) Greuter	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Ptilostemon	hispanicus		(Lam.) Greuter
OBSNEV:SINFONEVADA:SINFON-10-011186-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-011186-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Centaurea ornata Willd.	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	ornata		Willd.
OBSNEV:SINFONEVADA:SINFON-10-011285-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-011285-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Carlina corymbosa L.	Plantae	Magnoliophyta	Magnoliopsida	Asterales	Asteraceae	Carlina	corymbosa		L.
OBSNEV:SINFONEVADA:SINFON-10-011796-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-011796-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Festuca scariosa Pau	Plantae	Magnoliophyta	Liliopsida	Poales	Poaceae	Festuca	scariosa		Pau
OBSNEV:SINFONEVADA:SINFON-10-011878-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-011878-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Dactylis glomerata subsp. hispanica (Roth) Nyman	Plantae	Magnoliophyta	Liliopsida	Poales	Poaceae	Dactylis	glomerata	hispanica	(Roth) Nyman
OBSNEV:SINFONEVADA:SINFON-10-012007-20040902	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-10-012007-20040902	2004-09-02 & 2004-09-02		Europe	ESP	AL	ABLA		1389	1389	37.10451147	-2.770072789	1	Koeleria vallesiana Asch. & Graebn.	Plantae	Magnoliophyta	Liliopsida	Poales	Poaceae	Koeleria	vallesiana		Asch. & Graebn.
OBSNEV:SINFONEVADA:SINFON-1-006130-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-006130-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Quercus ilex L. subsp. ballota	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	ilex	ballota	
OBSNEV:SINFONEVADA:SINFON-1-007061-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-007061-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Halimium umbellatum Spach subsp. viscosum (Willk.) O.Bolòs & Vigo	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Cistaceae	Halimium	umbellatum	viscosum	(Willk.) O.Bolòs & Vigo
OBSNEV:SINFONEVADA:SINFON-1-008256-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-008256-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Retama sphaerocarpa Boiss.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Retama	sphaerocarpa		Boiss.
OBSNEV:SINFONEVADA:SINFON-1-008281-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-008281-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Ulex parviflorus Pourr.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Ulex	parviflorus		Pourr.
OBSNEV:SINFONEVADA:SINFON-1-008914-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-008914-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Eryngium campestre L.	Plantae	Magnoliophyta	Magnoliopsida	Apiales	Apiaceae	Eryngium	campestre		L.
OBSNEV:SINFONEVADA:SINFON-1-009644-20040831	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-1-009644-20040831	2004-08-31 & 2004-08-31		Europe	ESP	AL	ABLA		1249	1249	37.09546635	-2.750351047	1	Thymus serpylloides Bory subsp. gadorensis (Pau) Jalas	Plantae	Magnoliophyta	Magnoliopsida	Lamiales	Lamiaceae	Thymus	serpylloides	gadorensis	(Pau) Jalas
OBSNEV:SINFONEVADA:SINFON-101-005717-20041004	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-101-005717-20041004	2004-10-04 & 2004-10-04		Europe	ESP	GR	ALDEIRE		2134	2134	37.11820792	-3.11613253	1	Pinus sylvestris Lour.	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	sylvestris		Lour.
OBSNEV:SINFONEVADA:SINFON-101-005966-20041004	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-101-005966-20041004	2004-10-04 & 2004-10-04		Europe	ESP	GR	ALDEIRE		2134	2134	37.11820792	-3.11613253	1	Berberis hispanica Boiss. & Reut.	Plantae	Magnoliophyta	Magnoliopsida	Ranunculales	Berberidaceae	Berberis	hispanica		Boiss. & Reut.
OBSNEV:SINFONEVADA:SINFON-101-008211-20041004	2013-06-20T11:18:18	OBSNEV	SINFONEVADA	HumanObservation	SINFON-101-008211-20041004	2004-10-04 & 2004-10-04		Europe	ESP	GR	ALDEIRE		2134	2134	37.11820792	-3.11613253	1	Genista versicolor Boiss. ex Steud.	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae	Genista	versicolor		Boiss. ex Steud.
